file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,factorial/1[int],false,54,1,3,2,1,2,1,4,2,0,1,1,1,0,0,1,0,0,0,3,0,2,1,0,0,0,2,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,getCachedValue/1[java.lang.String],false,75,0,0,0,0,2,4,8,2,1,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,calculateSum/0,false,46,0,1,1,0,2,0,7,1,1,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,5,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,run/0,false,14,1,5,1,4,4,9,21,0,3,0,9,4,1,1,0,1,0,6,1,3,3,3,0,0,0,23,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,addNumber/1[int],false,38,0,1,1,0,2,1,8,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,startBackgroundTask/0,false,59,0,1,1,0,3,3,14,0,0,0,3,0,0,1,0,1,0,1,1,1,0,3,0,0,1,10,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyProgram.java,BuggyProgram,main/1[java.lang.String[]],false,9,1,2,0,2,1,1,4,0,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"deleteBook/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,108,2,1,1,0,1,4,5,0,1,2,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"showNewForm/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,93,3,1,1,0,1,2,4,0,1,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"doGet/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,41,3,8,1,7,8,9,31,0,1,2,9,7,1,0,0,1,0,6,0,1,0,2,0,0,0,22,4,0,true
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,destroy/0,false,29,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"insertBook/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,115,3,1,1,0,1,4,8,0,4,2,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,15,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"showEditForm/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,99,4,1,1,0,1,6,7,0,3,2,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,15,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"doPost/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,144,3,1,0,1,1,3,6,0,1,2,3,1,2,0,0,1,0,1,0,1,0,1,0,0,0,16,4,0,true
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,init/0,false,24,2,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,0,true
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"listBooks/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,84,4,1,1,0,1,4,6,0,2,2,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,12,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"showBookAdmin/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,75,4,1,1,0,1,4,6,0,2,2,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,14,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,ControllerServlet/0,true,33,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\ControllerServlet.java,com.pluralsight.ControllerServlet,"updateBook/2[com.pluralsight.HttpServletRequest,com.pluralsight.HttpServletResponse]",false,127,3,1,1,0,1,5,10,0,6,2,5,0,0,0,0,0,0,5,0,6,0,0,0,0,0,17,2,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\Tracker.java,training.taylor.timetracker.core.Tracker,add/1[training.taylor.timetracker.core.TimeEntry],false,12,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\Tracker.java,training.taylor.timetracker.core.Tracker,remove/1[training.taylor.timetracker.core.TimeEntry],false,16,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\Tracker.java,training.taylor.timetracker.core.Tracker,get/1[int],false,24,1,0,0,0,3,1,10,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,9,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\Tracker.java,training.taylor.timetracker.core.Tracker,size/0,false,20,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\BuggyCodeV2.java,BuggyCodeV2,main/1[java.lang.String[]],false,4,1,0,0,0,4,4,20,0,4,1,4,0,0,1,2,0,0,4,9,4,0,1,0,0,0,11,9,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,displayStudent/1[int],false,14,1,1,1,0,1,2,4,0,1,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,4,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,generateRandomStudentID/0,false,42,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,main/1[java.lang.String[]],false,51,1,4,0,4,1,4,7,0,1,1,4,3,1,0,0,0,0,3,5,1,1,0,0,0,0,5,9,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,calculateAverageGPA/0,false,21,0,1,1,0,2,2,7,1,1,0,2,0,0,1,0,0,0,0,1,2,1,1,0,0,0,8,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,"addStudent/3[int,java.lang.String,double]",false,9,1,3,2,1,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,readStudentsFromFile/1[java.lang.String],false,31,1,1,0,1,2,6,9,0,3,1,6,1,1,1,1,0,1,1,3,3,0,1,0,0,0,16,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,StudentManagement,processStudents/0,false,47,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,Student,hashCode/0,false,84,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,Student,"Student/3[int,java.lang.String,double]",true,67,0,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\StudentManagement.java,Student,equals/1[java.lang.Object],false,74,1,0,0,0,5,2,6,3,1,1,2,0,0,0,3,0,1,0,1,1,0,1,0,0,0,7,1,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\FileHandler.java,FileHandler,main/1[java.lang.String[]],false,18,1,2,0,2,1,1,4,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5,9,0,false
C:\Users\hatvi\TestClasses\temp_ck\solution_1\FileHandler.java,FileHandler,readFile/1[java.lang.String],false,7,0,1,1,0,2,5,10,0,1,1,5,0,0,0,0,1,0,1,0,1,1,1,0,0,0,10,1,0,false
